Company,BeanOrigin,Rating,CocoaPercent,CocoaFraction
A. Morin,Agua Grande,3.75,63.0,0.63
A. Morin,Kpime,2.75,70.0,0.7
A. Morin,Atsane,3.0,70.0,0.7
A. Morin,Akata,3.5,70.0,0.7
A. Morin,Quilla,3.5,70.0,0.7
A. Morin,Carenero,2.75,70.0,0.7
A. Morin,Cuba,3.5,70.0,0.7
A. Morin,Sur del Lago,3.5,70.0,0.7
A. Morin,Puerto Cabello,3.75,70.0,0.7
A. Morin,Pablino,4.0,70.0,0.7
A. Morin,Panama,2.75,70.0,0.7
A. Morin,Madagascar,3.0,70.0,0.7
A. Morin,Brazil,3.25,70.0,0.7
A. Morin,Equateur,3.75,70.0,0.7
A. Morin,Colombie,2.75,70.0,0.7
A. Morin,Birmanie,3.0,70.0,0.7
A. Morin,Papua New Guinea,3.25,70.0,0.7
A. Morin,Chuao,4.0,70.0,0.7
A. Morin,Piura,3.25,70.0,0.7
A. Morin,Chanchamayo Province,3.5,70.0,0.7
A. Morin,Chanchamayo Province,4.0,63.0,0.63
A. Morin,Bolivia,3.5,70.0,0.7
A. Morin,Peru,3.75,63.0,0.63
Acalli,"Chulucanas, El Platanal",3.75,70.0,0.7
Acalli,"Tumbes, Norandino",3.75,70.0,0.7
Adi,Vanua Levu,2.75,60.0,0.6
Adi,"Vanua Levu, Toto-A",3.25,80.0,0.8
Adi,Vanua Levu,3.5,88.0,0.88
Adi,"Vanua Levu, Ami-Ami-CA",3.5,72.0,0.72
Aequare (Gianduja),"Los Rios, Quevedo, Arriba",2.75,55.0,0.55
Aequare (Gianduja),"Los Rios, Quevedo, Arriba",3.0,70.0,0.7
Ah Cacao,Tabasco,3.0,70.0,0.7
Akesson's (Pralus),"Bali (west), Sukrama Family, Melaya area",3.75,75.0,0.75
Akesson's (Pralus),"Madagascar, Ambolikapiky P.",2.75,75.0,0.75
Akesson's (Pralus),"Monte Alegre, D. Badero",2.75,75.0,0.75
Alain Ducasse,Trinite,2.75,65.0,0.65
Alain Ducasse,Vietnam,2.75,75.0,0.75
Alain Ducasse,Madagascar,3.0,75.0,0.75
Alain Ducasse,Chuao,2.5,75.0,0.75
Alain Ducasse,"Piura, Perou",2.5,75.0,0.75
Alexandre,"Winak Coop, Napo",3.5,70.0,0.7
Alexandre,"La Dalia, Matagalpa",3.5,70.0,0.7
Alexandre,Tien Giang,3.5,70.0,0.7
Alexandre,"Makwale Village, Kyela",3.5,70.0,0.7
Altus aka Cao Artisan,Momotombo,2.75,60.0,0.6
Altus aka Cao Artisan,Acopagro,3.0,60.0,0.6
Altus aka Cao Artisan,CIAAB Coop,2.5,60.0,0.6
Altus aka Cao Artisan,Villa Andina,2.5,60.0,0.6
Altus aka Cao Artisan,Gruppo Salinas,2.75,60.0,0.6
Altus aka Cao Artisan,Sur del Lago,2.5,60.0,0.6
Altus aka Cao Artisan,Conacado,3.0,60.0,0.6
Altus aka Cao Artisan,Bolivia,3.25,80.0,0.8
Altus aka Cao Artisan,Bolivia,3.0,60.0,0.6
Altus aka Cao Artisan,Peru,3.25,60.0,0.6
Amano,Morobe,4.0,70.0,0.7
Amano,Dos Rios,3.75,70.0,0.7
Amano,Guayas,4.0,70.0,0.7
Amano,Chuao,3.0,70.0,0.7
Amano,Montanya,3.0,70.0,0.7
Amano,"Bali, Jembrana",2.75,70.0,0.7
Amano,Madagascar,3.5,70.0,0.7
Amano,Cuyagua,3.0,70.0,0.7
Amano,Ocumare,3.75,70.0,0.7
Amatller (Simon Coll),Ghana,3.0,70.0,0.7
Amatller (Simon Coll),Ecuador,2.75,70.0,0.7
Amatller (Simon Coll),Ecuador,2.75,85.0,0.85
Amatller (Simon Coll),Ghana,3.0,85.0,0.85
Amazona,"LamasdelChanka, San Martin, Oro Verde coop",3.25,72.0,0.72
Amazona,"Bellavista Gran Pajeten, San Martin",3.5,73.0,0.73
Ambrosia,Belize,3.0,64.0,0.64
Ambrosia,Madagascar,3.25,66.0,0.66
Ambrosia,Dominican Republic,3.25,75.0,0.75
Ambrosia,Papua New Guinea,3.25,63.0,0.63
Ambrosia,Venezuela,3.25,70.0,0.7
Ambrosia,Peru,3.5,68.0,0.68
Amedei,"Piura, Blanco de Criollo",3.75,70.0,0.7
Amedei,Porcelana,4.0,70.0,0.7
Amedei,Nine,4.0,75.0,0.75
Amedei,Chuao,5.0,70.0,0.7
Amedei,Ecuador,3.0,70.0,0.7
Amedei,Jamaica,3.0,70.0,0.7
Amedei,Grenada,3.5,70.0,0.7
Amedei,Venezuela,3.75,70.0,0.7
Amedei,Madagascar,4.0,70.0,0.7
Amedei,Trinidad,3.5,70.0,0.7
Amedei,Toscano Black,3.5,63.0,0.63
Amedei,Toscano Black,5.0,70.0,0.7
Amedei,Toscano Black,4.0,66.0,0.66
AMMA,Catongo,3.25,75.0,0.75
AMMA,"Monte Alegre, 3 diff. plantations",2.75,85.0,0.85
AMMA,"Monte Alegre, 3 diff. plantations",3.75,50.0,0.5
AMMA,"Monte Alegre, 3 diff. plantations",3.75,75.0,0.75
AMMA,"Monte Alegre, 3 diff. plantations",4.0,60.0,0.6
Anahata,Elvesia,3.0,75.0,0.75
Animas,Alto Beni,3.5,75.0,0.75
Ara,Madagascar,3.0,75.0,0.75
Ara,Chiapas,2.5,72.0,0.72
Ara,Equateur,2.75,75.0,0.75
Ara,Trincheras,3.0,75.0,0.75
Arete,San Juan,3.5,70.0,0.7
Arete,Kokoa Kamili,3.75,70.0,0.7
Arete,Tien Giang,3.5,73.0,0.73
